Dataset,Variable,Order,Pages
AE,AESPID,5,21
AE,AETERM,6,21
AE,AESEV,10,21
AE,AESER,11,21
AE,AEACN,12,21
AE,AEREL,13,21
AE,AESTDTC,14,21
AE,AEENDTC,15,21
AE,AEENRF,18,21
CM,CMTRT,5,9 22
CM,CMCAT,8,9 22
CM,CMINDC,9,9 22
CM,CMDOSTXT,12,9 22
CM,CMDOSU,13,9 22
CM,CMDOSFRQ,14,22
CM,CMROUTE,15,22
CM,CMSTDTC,16,9 22
CM,CMENDTC,17,9 22
CM,CMENRF,20,22
DA,DATEST,6,19
DA,DAORRES,7,19
DA,DAORRESU,8,19
DA,DADTC,15,19
DM,SUBJID,4,3
DM,SITEID,7,3
DM,BRTHDTC,8,6
DM,SEX,11,6
DM,RACE,12,6
DM,ETHNIC,13,6
DS,DSTERM,5,6 16 18
DS,DSDECOD,6,6 16 18
DS,DSSTDTC,9,6 16 18
EG,EGTEST,7,12
EG,EGORRES,9,12
EG,EGORRESU,10,12
EG,EGDTC,20,12
EX,EXDOSFRM,8,20
EX,EXSTDTC,9,20
EX,EXENDTC,10,20
IE,IETEST,6,4 5
IE,IECAT,7,4 5
IE,IEORRES,8,4 5
IE,IEDTC,12,4 5
MH,MHTERM,5,7 8
MH,MHCAT,6,7 8
MH,MHDTC,10,7 8
MH,MHSTDTC,11,7 8
MH,MHENRF,12,8
PE,PETEST,6,10
PE,PEORRES,7,10
PE,PEDTC,12,10
SC,SCORRES,7,3 6
SC,SCDTC,9,6
VS,VSTEST,6,11
VS,VSPOS,7,11
VS,VSORRES,8,11
VS,VSORRESU,9,11
VS,VSDTC,17,11
