Order,Dataset,Variable,WhereClause,Origin,Pages,last_string,row_nbr
1,DA,DAORRES,DA.DATESTCD.EQ.DISPAMT-4293d2a6,CRF,19,DISPAMT,1
2,DA,DAORRES,DA.DATESTCD.EQ.RETAMT-3ba7e183,CRF,19,RETAMT,2
1,EG,EGORRES,EG.EGTESTCD.EQ.INTP-966e023b,CRF,12,INTP,3
2,EG,EGORRES,EG.EGTESTCD.EQ.PRMEAN-43c134d0,CRF,12,PRMEAN,4
3,EG,EGORRES,EG.EGTESTCD.EQ.QRSDUR-7c4fd0fe,CRF,12,QRSDUR,5
4,EG,EGORRES,EG.EGTESTCD.EQ.QTMEAN-97dc9d93,CRF,12,QTMEAN,6
5,EG,EGORRES,EG.EGTESTCD.EQ.VRMEAN-a17d5e42,CRF,12,VRMEAN,7
1,IE,IEORRES,IE.IETESTCD.EQ.EXCL01-faba43f9,CRF,5,EXCL01,8
2,IE,IEORRES,IE.IETESTCD.EQ.EXCL02-6bbcb4b6,CRF,5,EXCL02,9
3,IE,IEORRES,IE.IETESTCD.EQ.EXCL03-469e42e5,CRF,5,EXCL03,10
4,IE,IEORRES,IE.IETESTCD.EQ.INCL01-b022f44c,CRF,4,INCL01,11
5,IE,IEORRES,IE.IETESTCD.EQ.INCL02-0f30a7fe,CRF,4,INCL02,12
6,IE,IEORRES,IE.IETESTCD.EQ.INCL03-fa8c1a34,CRF,4,INCL03,13
1,PE,PEORRES,PE.PETESTCD.EQ.PE01-7cb176a6,CRF,10,PE01,14
2,PE,PEORRES,PE.PETESTCD.EQ.PE02-4b333899,CRF,10,PE02,15
3,PE,PEORRES,PE.PETESTCD.EQ.PE03-ea1a9808,CRF,10,PE03,16
4,PE,PEORRES,PE.PETESTCD.EQ.PE04-96ba91e5,CRF,10,PE04,17
5,PE,PEORRES,PE.PETESTCD.EQ.PE05-86013ca2,CRF,10,PE05,18
6,PE,PEORRES,PE.PETESTCD.EQ.PE06-824312e4,CRF,10,PE06,19
7,PE,PEORRES,PE.PETESTCD.EQ.PE07-53292fc8,CRF,10,PE07,20
8,PE,PEORRES,PE.PETESTCD.EQ.PE08-04d7d1dc,CRF,10,PE08,21
9,PE,PEORRES,PE.PETESTCD.EQ.PE09-389b8847,CRF,10,PE09,22
1,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CGIGLOB-57c5b65e,CRF,17,CGIGLOB,23
2,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD01-9e6b386a,CRF,14,CSDD01,24
3,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD02-c4ed8570,CRF,14,CSDD02,25
4,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD03-9be4f844,CRF,14,CSDD03,26
5,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD04-6c32a664,CRF,14,CSDD04,27
6,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD05-7a83ef4a,CRF,14,CSDD05,28
7,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD06-7d537bbf,CRF,14,CSDD06,29
8,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD07-d78b4843,CRF,14,CSDD07,30
9,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD08-08dc4f6f,CRF,14,CSDD08,31
10,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD09-0555048e,CRF,15,CSDD09,32
11,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD10-b6317bb7,CRF,15,CSDD10,33
12,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD11-1b554ff0,CRF,15,CSDD11,34
13,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD12-17ca751b,CRF,15,CSDD12,35
14,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD13-307dfd6f,CRF,15,CSDD13,36
15,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD14-0744a041,CRF,15,CSDD14,37
16,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD15-55c71fcf,CRF,,CSDD15,38
17,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD16-bbed60ee,CRF,15,CSDD16,39
18,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD17-bd939e51,CRF,15,CSDD17,40
19,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD18-7638d58b,CRF,15,CSDD18,41
20,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDD19-dbb5c04a,CRF,15,CSDD19,42
21,QSMM,QSORRES,QSMM.QSTESTCD.EQ.CSDDTOT-acdca9e3,CRF,15,CSDDTOT,43
22,QSMM,QSORRES,QSMM.QSTESTCD.EQ.MMSEA1-d6d13b89,CRF,13,MMSEA1,44
23,QSMM,QSORRES,QSMM.QSTESTCD.EQ.MMSEA2-2e2a755c,CRF,13,MMSEA2,45
24,QSMM,QSORRES,QSMM.QSTESTCD.EQ.MMSEB-1d4ecb4b,CRF,13,MMSEB,46
25,QSMM,QSORRES,QSMM.QSTESTCD.EQ.MMSEC-eb203fe8,CRF,13,MMSEC,47
26,QSMM,QSORRES,QSMM.QSTESTCD.EQ.MMSED-feddbcc1,CRF,13,MMSED,48
27,QSMM,QSORRES,QSMM.QSTESTCD.EQ.MMSEET-c83f695b,CRF,13,MMSEET,49
28,QSMM,QSORRES,QSMM.QSTESTCD.EQ.MMSETOT-d16bf049,CRF,13,MMSETOT,50
1,SC,SCORRES,SC.SCTESTCD.EQ.EDLEVEL-37bcb977,CRF,6,EDLEVEL,51
2,SC,SCORRES,SC.SCTESTCD.EQ.MARISTAT-8ec81358,CRF,6,MARISTAT,52
3,SC,SCORRES,SC.SCTESTCD.EQ.SUBJINIT-554b94fb,CRF,3,SUBJINIT,53
4,SUPPCM,QVAL,SUPPCM.QNAM.EQ.PDDREAS-7ab5e3d0,CRF,9,PDDREAS,54
5,SUPPCM,QVAL,SUPPCM.QNAM.EQ.PDRESP-b4890320,CRF,9,PDRESP,55
1,SUPPDM,QVAL,SUPPDM.QNAM.EQ.RACE1-c60bc949,CRF,6,RACE1,56
2,SUPPDM,QVAL,SUPPDM.QNAM.EQ.RACE2-9f515751,CRF,6,RACE2,57
3,SUPPDM,QVAL,SUPPDM.QNAM.EQ.RACE3-ec8f90bc,CRF,,RACE3,58
4,SUPPDM,QVAL,SUPPDM.QNAM.EQ.RACEOTH-09be1554,CRF,6,RACEOTH,59
5,SUPPDM,QVAL,SUPPDM.QNAM.EQ.RAND-d6575460,CRF,16,RAND,60
6,SUPPDM,QVAL,SUPPDM.QNAM.EQ.RANDNO-9e064eb1,CRF,16,RANDNO,61
1,SUPPEG,QVAL,SUPPEG.QNAM.EQ.EGCLSIG-55bbc16d,CRF,12,EGCLSIG,62
1,SUPPEX,QVAL,SUPPEX.QNAM.EQ.SMNO-94a2ca5e,CRF,20,SMNO,63
1,SUPPQSMM,QVAL,SUPPQSMM.QNAM.EQ.RTRINIT-e5aed231,CRF,13 14 17,RTRINIT,64
1,VS,VSORRES,VS.VSTESTCD.EQ.DIABP-ad6505f4,CRF,11,DIABP,65
2,VS,VSORRES,VS.VSTESTCD.EQ.FRMSIZE-55cdfca0,CRF,11,FRMSIZE,66
3,VS,VSORRES,VS.VSTESTCD.EQ.HEIGHT-9064ed8b,CRF,11,HEIGHT,67
4,VS,VSORRES,VS.VSTESTCD.EQ.PULSE-740ee232,CRF,11,PULSE,68
5,VS,VSORRES,VS.VSTESTCD.EQ.SYSBP-89104de9,CRF,11,SYSBP,69
6,VS,VSORRES,VS.VSTESTCD.EQ.WEIGHT-f82b30fe,CRF,11,WEIGHT,70
